Phi,P, Mass_Flow_Rate_C1-Inlet1_2, Reactant_N2_(mole_fraction), Temperature_(K),H2, H,O,O2,OH,H2O, CO,CO2,NO,NO2,N2
1.7,50,86,1,2460.526,0.0218000000,0.0004410000,0.0000060900,0.0000131000,0.0004560000,0.1140000000,0.1470000000,0.1260000000,0.0001470000,0.0000000000,0.5900000000
1.7,50,114,2,2252.516,0.0206000000,0.0001530000,0.0000005670,0.0000011500,0.0001110000,0.0994000000,0.1280000000,0.1130000000,0.0000299000,0.0000000000,0.6390000000
1.7,50,142,3,2080.512,0.0198000000,0.0000549000,0.0000000554,0.0000001070,0.0000279000,0.0874000000,0.1120000000,0.1020000000,0.0000060600,0.0000000000,0.6780000000
1.7,50,170,4,1937.054,0.0192000000,0.0000205000,0.0000000058,0.0000000187,0.0000073300,0.0777000000,0.1000000000,0.0935000000,0.0000009530,0.0000000000,0.7090000000
1.7,100,86,1,2462.591,0.0218000000,0.0003150000,0.0000031200,0.0000067300,0.0003270000,0.1140000000,0.1470000000,0.1260000000,0.0001060000,0.0000000000,0.5900000000
1.7,100,114,2,2253.081,0.0206000000,0.0001090000,0.0000002850,0.0000005780,0.0000788000,0.0994000000,0.1280000000,0.1130000000,0.0000213000,0.0000000000,0.6390000000
1.7,100,142,3,2080.682,0.0198000000,0.0000389000,0.0000000278,0.0000000531,0.0000198000,0.0874000000,0.1120000000,0.1020000000,0.0000042400,0.0000000000,0.6780000000
1.7,100,170,4,1937.11,0.0192000000,0.0000145000,0.0000000029,0.0000000080,0.0000051900,0.0777000000,0.1000000000,0.0935000000,0.0000004210,0.0000000000,0.7090000000
2,1,86,1,2290.548,0.0342000000,0.0017300000,0.0000307000,0.0000417000,0.0008890000,0.1110000000,0.1850000000,0.1080000000,0.0001920000,0.0000000000,0.5590000000
2,1,114,2,2091.268,0.0321000000,0.0006110000,0.0000028900,0.0000037500,0.0002130000,0.0953000000,0.1590000000,0.0964000000,0.0000495000,0.0000000000,0.6160000000
2,1,142,3,1924.229,0.0305000000,0.0003400000,0.0000006600,0.0000009290,0.0000794000,0.0826000000,0.1390000000,0.0875000000,0.0000167000,0.0000000000,0.6600000000
2,1,170,4,1785.719,0.0293000000,0.0002810000,0.0000003290,0.0000005600,0.0000442000,0.0723000000,0.1230000000,0.0806000000,0.0000074800,0.0000000000,0.6950000000
2,10,86,1,2302.94,0.0342000000,0.0005750000,0.0000034800,0.0000047500,0.0003040000,0.1120000000,0.1850000000,0.1080000000,0.0000634000,0.0000000000,0.5600000000
2,10,114,2,2095.23,0.0321000000,0.0001720000,0.0000002300,0.0000002990,0.0000603000,0.0956000000,0.1590000000,0.0964000000,0.0000103000,0.0000000000,0.6170000000
2,10,142,3,1926.47,0.0306000000,0.0000544000,0.0000000169,0.0000000528,0.0000127000,0.0827000000,0.1390000000,0.0875000000,0.0000019000,0.0000000000,0.6600000000
2,10,170,4,1787.579,0.0294000000,0.0000200000,0.0000000017,0.0000001300,0.0000031500,0.0724000000,0.1230000000,0.0805000000,0.0000003340,0.0000000000,0.6950000000
2,50,86,1,2306.203,0.0342000000,0.0002620000,0.0000007240,0.0000009900,0.0001390000,0.1120000000,0.1850000000,0.1080000000,0.0000292000,0.0000000000,0.5600000000
2,50,114,2,2096.057,0.0321000000,0.0000771000,0.0000000464,0.0000000600,0.0000271000,0.0956000000,0.1590000000,0.0963000000,0.0000043300,0.0000000000,0.6170000000
